"customer_email","customer_id","avg_spending_amount"
ChrisWilliams@gmail.com,fd1266f1-cb78-4a65-8717-739a3b895863,1045
MichaelDavis@gmail.com,fc1946af-c079-48a5-881e-7ec2e5b13b09,1067
SarahMiller@gmail.com,"85651fff-4397-4a9c-afba-943b69ef76dc",1222
MichaelMartinez@gmail.com,c4c7ae67-e0f8-415a-a022-9bc2eaae6376,1380
SarahRodriguez@gmail.com,c08bdd37-b284-42f3-9622-91b9764257f9,1138
EmilyJones@gmail.com,fd8edf9c-4791-425b-9be1-ce9175b90c07,1437
SarahSmith@gmail.com,f5c25360-7dd0-4b52-a6fd-20a9e8c4e01f,1382
JohnBrown@gmail.com,e6cfb60f-ab7f-46b2-93eb-098849274ed4,1411
KatieGarcia@gmail.com,b36e6be0-7396-4e5a-af95-fb7e542b5a8e,1195
AlexGarcia@gmail.com,fc2d0e0d-505e-4d34-8742-4a335722e59d,1070
KatieJohnson@gmail.com,d987423d-7a2e-4c77-9ae7-cf7b0c8e9c0a,1126
EmilySmith@gmail.com,edd54fad-2067-42e9-8263-258ebcf93ada,1256
LauraWilliams@gmail.com,"66e18118-cb07-4c3c-a7db-362f50bbdb95",1242
EmilyBrown@gmail.com,"7256be50-3243-4a6e-8ff3-a0d83a0ff6e6",1404
DavidWilliams@gmail.com,f9363f85-eb7f-4d92-afe8-285fcfd0d6da,1251
DavidMiller@gmail.com,"83b55a23-21b1-465c-b3c0-f2787c98ad30",1393
KatieMiller@gmail.com,ea394886-cbdb-4d80-a9ce-6ecba1cec7b4,1007
MichaelBrown@gmail.com,e1cd9bbc-0a4b-4894-9193-26402fd3de51,1421
JohnRodriguez@gmail.com,b6bbfd2d-eeff-492a-9c7b-42b2ef58545c,1452
DavidMartinez@gmail.com,ff2a73cd-06fe-4eee-b737-f8bb094ec00d,1021
AlexMiller@gmail.com,d7025a2f-e42d-489c-a145-a20b0672f3d7,1265
AlexJohnson@gmail.com,e33be00a-4cfb-4748-bfc4-7e8e6fde0866,1112
ChrisGarcia@gmail.com,e64c6b0c-a2bb-4f8a-b987-14ec8a2aa5d8,1130
JohnJohnson@gmail.com,"76a19f05-c1bc-4a21-9b01-e6636a96d51a",1126
JaneDavis@gmail.com,cff25a35-0a28-4d22-b4c3-fcbc002e441b,1154
